,4.00-4.05,4.05-4.10,4.10-4.14,4.15-4.20,4.20-4.25,4.25-4.30,4.30-4.35,4.35-4.40,4.40-4.45,4.45-4.50,4.50-4.55,4.55-5.00
NE,25,26,29,28,29,31,27,24,32,19,23,24
EN,39,30,35,57,34,41,35,32,38,54,32,42
NW,28,41,27,37,48,36,34,40,36,36,32,38
WN,56,42,35,42,40,38,38,37,33,35,46,39
SE,51,71,41,59,50,49,45,56,54,63,61,60
ES,51,50,57,54,63,46,66,56,45,45,52,69
SW,22,12,22,15,19,17,21,15,18,13,24,12
WS,49,44,47,51,48,44,46,46,52,51,53,45
