,4.00-4.05,4.05-4.10,4.10-4.14,4.15-4.20,4.20-4.25,4.25-4.30,4.30-4.35,4.35-4.40,4.40-4.45,4.45-4.50,4.50-4.55,4.55-5.00
NE,0,0,2,2,1,1,3,2,2,1,3,5
EN,1,3,2,2,1,3,0,2,1,1,2,6
NW,0,0,0,0,0,0,0,0,0,1,0,4
WN,0,0,0,0,0,0,0,0,0,0,0,4
SE,3,4,2,1,1,2,3,3,0,1,2,8
ES,2,0,8,2,0,2,3,2,4,2,3,1
SW,2,0,1,2,1,1,0,0,0,1,3,2
WS,0,0,0,0,0,0,0,0,0,0,0,4
NS,7,6,8,5,8,10,10,5,10,4,6,8
SN,6,16,11,9,9,11,6,9,8,10,18,10
EW,3,4,3,8,1,2,3,6,4,2,4,3
WE,3,1,3,2,3,2,4,0,4,6,4,1
